Train Acc.,Test Acc.,Precision,Recall,F1-Score,Class Imbalance,Parameters
91.65960445,94.77020602218701,0.8051001821493625,0.8292682926829268,0.8170055452865065,original,basic
91.65960445,94.77020602218701,0.8051001821493625,0.8292682926829268,0.8170055452865065,original,gini
91.22366005757641,93.42313787638669,0.7591240875912408,0.7804878048780488,0.7696577243293247,original,entropy
93.28593389700231,91.25726360274696,0.6629032258064517,0.7711069418386491,0.7129228100607112,smote,basic
93.28593389700231,91.25726360274696,0.6629032258064517,0.7711069418386491,0.7129228100607112,smote,gini
92.50192159877018,90.67617538298997,0.6490066225165563,0.7354596622889306,0.6895338610378188,smote,entropy
97.31744812,94.21553090332804,0.7844202898550725,0.8123827392120075,0.7981566820276498,oversampling,basic
97.31744812,94.21553090332804,0.7844202898550725,0.8123827392120075,0.7981566820276498,oversampling,gini
97.20599538816295,95.27205493924987,0.8277777777777777,0.8386491557223265,0.8331780055917987,oversampling,entropy
73.83937665931785,72.74167987321711,0.31613854089904203,0.8048780487804879,0.45396825396825397,undersampling,basic
73.83937665931785,72.74167987321711,0.31613854089904203,0.8048780487804879,0.45396825396825397,undersampling,gini
71.89379816654815,72.53037506603275,0.3187991422444603,0.8367729831144465,0.4616977225672878,undersampling,entropy
93.29701563,91.62704701531959,0.6714285714285714,0.7936210131332082,0.7274290627687017,smote,tomek
93.29701563,91.62704701531959,0.6714285714285714,0.7936210131332082,0.7274290627687017,smote,tomek
92.38128103,90.59693608029583,0.6462809917355372,0.7335834896810507,0.687170475,smote,tomek
91.92768255459028,84.44268357105125,0.4680365296803653,0.7692307692307693,0.5819730305180979,smote,enn
91.92768255459028,84.44268357105125,0.4680365296803653,0.7692307692307693,0.5819730305180979,smote,enn
92.43953979807466,83.88800845219228,0.45507584597432904,0.7317073170731707,0.5611510791366906,smote,enn
