feature,importance
INVTYPE,0.038639653
INITDIR,0.027785818
VEHTYPE,0.021591896
RDSFCOND,0.018986975
MANOEUVER,0.01617945
INVAGE,0.014558611
PEDESTRIAN,0.003589001
LIGHT,0.003125904
IMPACTYPE,0.00211288
SEASON,0.002083936
LATITUDE,0.002054993
SPEEDING,0.001476122
DISTRICT,0.001389291
DRIVACT,0.001244573
LONGITUDE,0.001099855
HOOD_158,0.001099855
MOTORCYCLE,0.00081042
VISIBILITY,0.000781476
ROAD_CLASS,0.000781476
HOOD_140,0.000665702
TRAFFCTL,0.000665702
PASSENGER,0.000607815
TRSN_CITY_VEH,0.000549928
DRIVCOND,0.000492041
CYCLIST,0.000347323
DIVISION,0.000260492
AUTOMOBILE,0.000202605
ACCLOC,0.000144718
AG_DRIV,0.000115774
ALCOHOL,0.000115774
DISABILITY,0.0000868307
REDLIGHT,0.0000868307
TRUCK,0.0000868307
