Feature,Importance
INVAGE,0.032590449
INVTYPE,0.012474674
INITDIR,0.01186686
RDSFCOND,0.010072359
MANOEUVER,0.007785818
VEHTYPE,0.0076411
PEDESTRIAN,0.005209841
LATITUDE,0.00422576
LONGITUDE,0.002691751
LIGHT,0.002575977
HOOD_158,0.001505065
DRIVACT,0.001186686
SPEEDING,0.001128799
MOTORCYCLE,0.001099855
IMPACTYPE,0.001070912
ROAD_CLASS,0.000868307
DISABILITY,0.000781476
DISTRICT,0.000694645
ACCLOC,0.000607815
AG_DRIV,0.000549928
PASSENGER,0.000492041
TRAFFCTL,0.000492041
HOOD_140,0.000463097
AUTOMOBILE,0.00040521
CYCLIST,0.000376266
ALCOHOL,0.000347323
SEASON,0.000318379
VISIBILITY,0.000289436
TRUCK,0.000260492
DIVISION,0.000173661
REDLIGHT,0.000144718
DRIVCOND,0.000115774
TRSN_CITY_VEH,5.78871E-05
