Model,Kernel,Train Acc.%,Test Acc.%,Unseen Acc.%,Parameters,Precision,F1-Score,Recall,ROC Score,Class Imbalance,SMOTE
svm_linear_smote,linear,99.98,98.04,100.00,"{'svm__C': 1, 'svm__kernel': 'linear'}",0.9805,0.9805,0.9804,0.9797,original,True
svm_rbf_smote,rbf,100.00,63.79,40.00,"{'svm__C': 1, 'svm__gamma': 3.0, 'svm__kernel': 'rbf'}",0.7706,0.5084,0.6379,0.5155,original,True
svm_poly_smote,poly,100.00,99.20,100.00,"{'svm__C': 10, 'svm__degree': 3, 'svm__gamma': 1.0, 'svm__kernel': 'poly'}",0.9920,0.9920,0.9920,0.9917,original,True
svm_linear_original,linear,99.98,98.04,100.00,"{'svm__C': 1, 'svm__kernel': 'linear'}",0.9805,0.9805,0.9804,0.9797,original,False
svm_rbf_original,rbf,100.00,63.36,40.00,"{'svm__C': 1, 'svm__gamma': 3.0, 'svm__kernel': 'rbf'}",0.7688,0.4988,0.6336,0.5097,original,False
svm_poly_original,poly,100.00,99.20,100.00,"{'svm__C': 10, 'svm__degree': 3, 'svm__gamma': 1.0, 'svm__kernel': 'poly'}",0.9920,0.9920,0.9920,0.9917,original,False
svm_linear_oversampling,linear,100.00,98.84,100.00,"{'svm__C': 1, 'svm__kernel': 'linear'}",0.9884,0.9884,0.9884,0.9884,oversampling,False
svm_rbf_oversampling,rbf,100.00,81.08,90.00,"{'svm__C': 1, 'svm__gamma': 3.0, 'svm__kernel': 'rbf'}",0.8627,0.8037,0.8108,0.8108,oversampling,False
svm_poly_oversampling,poly,100.00,99.19,100.00,"{'svm__C': 10, 'svm__degree': 3, 'svm__gamma': 1.0, 'svm__kernel': 'poly'}",0.9919,0.9919,0.9919,0.9919,oversampling,False
svm_linear_undersampling,linear,100.00,96.52,100.00,"{'svm__C': 1, 'svm__kernel': 'linear'}",0.9653,0.9651,0.9652,0.9651,undersampling,False
svm_rbf_undersampling,rbf,100.00,52.37,60.00,"{'svm__C': 1, 'svm__gamma': 3.0, 'svm__kernel': 'rbf'}",0.7560,0.3835,0.5237,0.5233,undersampling,False
svm_poly_undersampling,poly,100.00,98.94,100.00,"{'svm__C': 10, 'svm__degree': 3, 'svm__gamma': 1.0, 'svm__kernel': 'poly'}",0.9894,0.9894,0.9894,0.9893,undersampling,False
